Mes-Ano," Línea de Pobreza Extrema Rural por Ingresos
(Canasta alimentaria) "," Línea de Pobreza Extrema Urbana por Ingresos
(Canasta alimentaria) ","Línea de Pobreza Rural por Ingresos
(Canasta alimentaria más no alimentaria)","Línea de Pobreza Urbana por Ingresos
(Canasta alimentaria más no alimentaria)"
ene-92,$124.78,$169.99,$258.25,$421.32
feb-92,$125.89,$171.71,$260.35,$424.22
mar-92,$127.45,$173.37,$262.66,$426.86
abr-92,$129.10,$175.39,$264.79,$429.28
may-92,$127.91,$174.97,$264.59,$429.94
jun-92,$127.92,$175.31,$265.61,$431.63
jul-92,$127.75,$175.21,$266.27,$432.62
ago-92,$127.03,$174.86,$266.51,$433.57
sep-92,$127.06,$175.09,$268.93,$438.09
oct-92,$127.98,$175.95,$271.10,$441.01
nov-92,$130.01,$177.90,$274.42,$445.04
dic-92,$134.89,$182.80,$280.42,$453.18
ene-93,$137.39,$186.02,$284.87,$465.98
feb-93,$137.07,$186.31,$285.63,$467.95
mar-93,$134.98,$184.54,$284.75,$467.95
abr-93,$133.87,$183.66,$284.06,$467.40
may-93,$135.07,$184.91,$285.67,$469.14
jun-93,$135.72,$185.61,$287.20,$471.11
jul-93,$135.47,$185.47,$287.75,$471.88
ago-93,$135.46,$185.98,$288.63,$473.78
sep-93,$136.63,$187.30,$292.03,$479.13
oct-93,$136.66,$187.62,$293.36,$481.55
nov-93,$137.39,$188.46,$295.07,$484.13
dic-93,$140.48,$191.48,$298.72,$488.49
ene-94,$142.35,$193.85,$301.34,$492.51
feb-94,$140.74,$192.51,$301.03,$494.38
mar-94,$139.83,$191.74,$301.12,$497.19
abr-94,$139.70,$191.95,$301.20,$497.58
may-94,$139.94,$192.09,$301.77,$498.04
jun-94,$140.49,$192.76,$303.30,$499.99
jul-94,$141.62,$194.16,$304.96,$502.01
ago-94,$142.12,$194.97,$306.19,$503.91
sep-94,$142.57,$195.60,$308.16,$507.48
oct-94,$142.63,$195.95,$309.47,$509.88
nov-94,$143.76,$197.20,$311.73,$512.88
dic-94,$145.81,$199.32,$314.87,$516.44
ene-95,$151.24,$206.91,$324.43,$529.68
feb-95,$156.92,$215.38,$338.05,$547.88
mar-95,$163.59,$224.12,$361.62,$588.27
abr-95,$174.18,$237.37,$390.07,$630.23
may-95,$182.82,$248.00,$405.71,$649.11
jun-95,$189.92,$256.94,$419.13,$666.44
jul-95,$194.33,$262.80,$427.57,$677.64
ago-95,$196.74,$266.59,$434.19,$687.23
sep-95,$199.15,$270.18,$442.48,$699.64
oct-95,$203.75,$275.51,$451.78,$711.96
nov-95,$212.37,$285.50,$465.52,$729.52
dic-95,$222.89,$299.21,$482.40,$753.23
ene-96,$232.28,$312.47,$501.04,$791.39
feb-96,$238.44,$320.37,$512.31,$808.45
mar-96,$243.13,$326.56,$522.41,$824.05
abr-96,$251.46,$337.76,$536.13,$844.75
may-96,$258.59,$346.32,$547.06,$862.69
jun-96,$263.39,$352.40,$557.00,$880.83
jul-96,$266.75,$357.09,$564.61,$893.33
ago-96,$269.31,$360.73,$572.31,$905.60
sep-96,$273.93,$366.95,$583.07,$920.99
oct-96,$277.63,$371.63,$591.70,$938.66
nov-96,$283.23,$378.36,$602.79,$955.21
dic-96,$291.76,$390.66,$624.56,$986.51
ene-97,$301.61,$403.41,$640.19,"$1,003.29"
feb-97,$303.11,$406.61,$647.14,"$1,016.84"
mar-97,$303.67,$408.04,$652.25,"$1,028.00"
abr-97,$306.65,$412.06,$658.63,"$1,039.46"
may-97,$308.73,$415.18,$663.65,"$1,053.09"
jun-97,$309.69,$417.47,$668.31,"$1,063.44"
jul-97,$312.12,$420.76,$673.90,"$1,074.09"
ago-97,$314.02,$423.33,$679.23,"$1,084.14"
sep-97,$317.35,$427.38,$688.35,"$1,100.79"
oct-97,$318.20,$429.61,$693.50,"$1,112.63"
nov-97,$321.35,$433.95,$702.30,"$1,128.95"
dic-97,$327.25,$441.22,$712.93,"$1,145.97"
ene-98,$336.11,$453.63,$728.81,"$1,170.16"
feb-98,$346.43,$466.28,$745.02,"$1,193.01"
mar-98,$352.23,$473.37,$755.30,"$1,208.28"
abr-98,$354.17,$476.81,$761.12,"$1,218.10"
may-98,$354.72,$478.14,$762.90,"$1,220.63"
jun-98,$356.45,$479.53,$768.34,"$1,227.77"
jul-98,$360.84,$484.20,$776.10,"$1,237.24"
ago-98,$364.79,$489.60,$784.96,"$1,249.96"
sep-98,$369.94,$496.64,$798.29,"$1,270.31"
oct-98,$376.16,$503.92,$809.85,"$1,285.37"
nov-98,$381.99,$510.87,$826.39,"$1,309.71"
dic-98,$396.80,$527.32,$853.99,"$1,342.35"
ene-99,$412.34,$544.33,$877.94,"$1,369.50"
feb-99,$412.26,$547.49,$885.74,"$1,382.90"
mar-99,$407.70,$544.55,$888.63,"$1,397.97"
abr-99,$407.03,$545.34,$893.52,"$1,409.98"
may-99,$408.34,$548.09,$896.94,"$1,412.76"
jun-99,$408.95,$549.78,$901.84,"$1,420.04"
jul-99,$410.42,$552.27,$906.60,"$1,432.32"
ago-99,$411.34,$554.97,$911.89,"$1,441.01"
sep-99,$412.04,$556.51,$920.28,"$1,455.50"
oct-99,$413.34,$558.97,$926.33,"$1,464.82"
nov-99,$415.60,$562.05,$936.91,"$1,481.63"
dic-99,$424.08,$573.11,$949.10,"$1,498.13"
ene-00,$430.47,$581.24,$961.58,"$1,514.04"
feb-00,$430.00,$581.99,$967.05,"$1,522.47"
mar-00,$429.12,$581.20,$969.92,"$1,526.86"
abr-00,$429.67,$581.46,$972.15,"$1,529.31"
may-00,$433.81,$586.33,$975.29,"$1,531.10"
jun-00,$439.96,$593.88,$982.98,"$1,541.64"
jul-00,$444.03,$599.66,$989.26,"$1,550.90"
ago-00,$445.59,$602.46,$994.32,"$1,559.39"
sep-00,$444.76,$602.09,$999.20,"$1,567.00"
oct-00,$448.59,$606.61,"$1,006.97","$1,588.55"
nov-00,$452.25,$611.21,"$1,017.73","$1,605.49"
dic-00,$464.97,$624.65,"$1,033.68","$1,623.97"
ene-01,$464.16,$625.18,"$1,035.89","$1,629.04"
feb-01,$452.89,$615.40,"$1,028.45","$1,624.68"
mar-01,$455.05,$617.81,"$1,033.61","$1,639.41"
abr-01,$458.93,$622.30,"$1,038.56","$1,644.39"
may-01,$463.29,$627.00,"$1,040.35","$1,642.59"
jun-01,$463.41,$628.62,"$1,042.38","$1,646.76"
jul-01,$461.34,$627.61,"$1,040.61","$1,644.68"
ago-01,$467.32,$633.33,"$1,048.71","$1,653.42"
sep-01,$470.06,$635.99,"$1,057.25","$1,666.91"
oct-01,$475.13,$640.66,"$1,063.73","$1,674.85"
nov-01,$477.16,$643.41,"$1,071.41","$1,688.16"
dic-01,$479.64,$646.93,"$1,075.72","$1,693.67"
ene-02,$485.12,$654.15,"$1,083.91","$1,705.82"
feb-02,$472.25,$643.42,"$1,078.78","$1,708.75"
mar-02,$472.74,$644.52,"$1,081.53","$1,714.87"
abr-02,$478.06,$649.64,"$1,087.64","$1,721.06"
may-02,$482.12,$653.57,"$1,087.56","$1,717.67"
jun-02,$486.24,$658.66,"$1,092.16","$1,724.02"
jul-02,$489.82,$662.79,"$1,095.65","$1,728.11"
ago-02,$489.69,$663.46,"$1,097.73","$1,732.44"
sep-02,$488.28,$662.41,"$1,101.26","$1,741.51"
oct-02,$488.10,$662.19,"$1,103.27","$1,746.79"
